Cards in Hand,Rank of Hand,Hand Winning Percent
H5 D2 D4 DA H2 ,One Pair,0.727
S9 C6 H6 DA SQ ,One Pair,0.719
ST HJ DA H8 S9 ,High Card,0.027
S2 CK H2 HQ C2 ,Three of A Kind,0.979
S6 D7 HJ S9 SJ ,One Pair,0.714
D5 H3 C3 H6 D6 ,Two Pair,0.879
S5 S7 C4 D8 H3 ,High Card,0.051
CA S3 HK C8 C4 ,High Card,0.057
C4 DT S6 C8 S4 ,One Pair,0.704
ST D8 SA C5 HQ ,High Card,0.026
H6 C9 D2 H2 H7 ,One Pair,0.735
C9 D9 S6 HJ ST ,One Pair,0.675
S5 CQ HK HQ D8 ,One Pair,0.704
C4 DJ C8 H4 DQ ,One Pair,0.711
CT D4 DQ C5 CQ ,One Pair,0.703
H6 S3 D7 HK CQ ,High Card,0.056
C9 H2 SQ DA DK ,High Card,0.044
D6 S4 DJ H4 HT ,One Pair,0.713
C6 D9 SA S3 CT ,High Card,0.058
D2 D5 CQ SA C2 ,One Pair,0.723
SK H2 S8 D3 H8 ,One Pair,0.706
S4 DQ CA SQ D2 ,One Pair,0.752
S4 C4 SA D3 C7 ,One Pair,0.709
S5 SQ SA D6 CJ ,High Card,0.053
D3 SA D7 C8 CA ,One Pair,0.737
CQ H2 D4 H4 DJ ,One Pair,0.7
HJ H8 HA C4 CK ,High Card,0.057
D4 H4 D9 H6 DT ,One Pair,0.718
D4 HT D7 C5 CA ,High Card,0.05
S8 HA SK C4 H4 ,One Pair,0.72
S5 CQ C5 D3 S7 ,One Pair,0.724
SJ S7 C4 SQ C5 ,High Card,0.047
DT CK H3 SK D9 ,One Pair,0.719
C3 D6 CJ C8 D2 ,High Card,0.053
H5 H6 S6 H9 D5 ,Two Pair,0.884
S3 H2 DK ST S2 ,One Pair,0.706
D8 D6 D4 C6 H5 ,One Pair,0.739
CJ ST HA H2 H5 ,High Card,0.043
S2 C5 D7 H6 D8 ,High Card,0.056
C8 D6 C3 CT H6 ,One Pair,0.711
HQ S6 HA C7 CQ ,One Pair,0.725
C3 C5 H7 C6 C2 ,High Card,0.042
S6 H8 H5 C2 SQ ,High Card,0.047
S9 S3 SK SJ C4 ,High Card,0.057
C7 S6 C6 H9 SK ,One Pair,0.729
CK SQ D5 CA C4 ,High Card,0.06
CT H9 DQ DA H2 ,High Card,0.047
H9 SA CQ CK C9 ,One Pair,0.731
CA C2 S9 H3 S4 ,High Card,0.053
D6 H5 ST S3 H9 ,High Card,0.046
D3 H5 DT D5 C2 ,One Pair,0.704
C2 CJ H6 D4 D7 ,High Card,0.055
D3 CA H6 SJ HT ,High Card,0.038
H9 DQ D3 D2 S3 ,One Pair,0.723
SK C2 C9 HK D5 ,One Pair,0.738
HJ SA CJ H5 C2 ,One Pair,0.734
C7 CQ DQ H2 S5 ,One Pair,0.731
C2 SJ H5 D5 S4 ,One Pair,0.757
C9 CA D4 SA DA ,Three of A Kind,0.976
S6 H7 C3 D3 SQ ,One Pair,0.733
H3 HA C4 D3 C5 ,One Pair,0.737
DQ S2 C5 H3 H9 ,High Card,0.051
CJ D9 S6 D3 SK ,High Card,0.049
